,SentencePre,Sentence,SentencePost,Idiom,Usage
150,the long train ease into peterborough station and the train announcer call peterborough,a few people be on the platform the station staff busy themselves with mail bag and other item of luggage and parcel at last the guard blow he whistle,the wisharts be about to settle down to they reading when the corridor door slide open and an elderly lady ease she way into the compartment the newcomer be wear a striking black silk dress and black hat which be very reminiscent of the victorian age,blow_whistle,L
151,the porter glance at he watch if you hurry sir,mr wishart hurry off to the refreshment room luckily get serve straight away and with difficulty get back to the compartment just as the guard be blow he whistle the old lady take one of the paper cup of tea and murmur she thanks,the wisharts read the remaining news in they paper and look out of the window the old lady be still silent and motionless,blow_whistle,L
152,he dart about look to satisfy he astonishment but the old lady have melt away,the guard blow he whistle mr wishart climb back into the compartment and sit down,where be she go dear ask he wife,blow_whistle,L
153,as you say yourself hardly in line with official government policy,and someone in the interior ministry might blow the whistle on you,la guerre des flics be alive and well roquelaure confirm refer to the notorious rivalry between the police and the security organisation including the gendarmerie which come under the ministry of defence,blow_whistle,I
154,we make we own entertainment,mother play the piano sister hazel dance father blow the swanee whistle and i do recitation,friend who call be subject to we party piece,blow_whistle,L
155,peter know that julian gamble but he have not expect he to gamble to that level and certainly not to use the shop as security,with continual borrowing over two year the bank have blow the whistle,everything be go,blow_whistle,I
156,dexter drop a heavy enough hint a fortnight ago by fail to back lamb when the row erupt,after lamb have blow the whistle on the pakistani dexter seem to want to wash he hand of anything lamb be do suggest that the northants captain 's forthright comment would not just end with a fine and a suspension from he county boss,if lamb 's sacking do not come as a major shock then gower 's late axing be mind-blowingly baffle following his much trumpete recall for the third cornhill test match at old trafford,blow_whistle,I
157,that be why we buy he,david have a very good game at leeds apart from not apply the golden rule of play until the ref blow he whistle,he fully accept the responsibility for they late goal,blow_whistle,L
158,in fact it will not affect she pay-off from the royal family in any way,the reason be simple the queen prince andrew prince charles and a very nervous prince edward be petrified she will blow the whistle on they in print,if she do it could be the final whistle for the monarchy,blow_whistle,I
159,behind they be david mellor soon to be appoint minister for fun and later to be dub figure of fun for he fling with actress antonia de sancha,the whistle be blow on chelsea fan mellor 's game,and he be the one to cry foul,blow_whistle,Q
160,and staff member go to war on each other,anyone who try to blow the whistle on the violence be intimidate or threaten,hate,blow_whistle,I
161,mick cleary argue that no matter how anxious we be to welcome they the argument for sa '95 be not as persuasive as they might at first appear,no sooner have derek bevan blow the final whistle at twickenham than faint noise could be hear from over the horizon,within a few day the whisper have become a roar south africa for the 1995 world cup,blow_whistle,L
162,we be the people,a it be not over 'til the ref blow he whistle,n if i die before i be dead please shoot i in the head,blow_whistle,L
163,as it be early afternoon there be no madding crowd and she secure a first-class compartment to herself,he enter a second-class compartment moment before the guard wave he flag and blow he whistle,he go through to the corridor and as the train begin to move he saunter along to the first-class coach,blow_whistle,L
